Indicator Code,NY.GDP.PCAP.KD,NY.GDP.DEFL.KD.ZG.AD,BM.KLT.DINV.WD.GD.ZS,TG.VAL.TOTL.GD.ZS,MS.MIL.XPND.ZS,TX.VAL.MRCH.XD.WD
Indicator Name,GDP per capita (constant 2015 US$),"Inflation, GDP deflator: linked series (annual %)","Foreign direct investment, net balance (% of GDP)",Merchandise trade (% of GDP),Military expenditure (% of general government expenditure),Export value index (2015 = 100)
1990,1577.1961662774,6.66894186986168,0.320681817274718,35.5745665665487,2.23416091170604,26.9684061103
1991,1541.59066261036,18.8639068014772,0.505441571848687,35.6981864847331,2.11395208375277,24.1928558655
1992,1571.1902261783,46.7523553581667,1.2227497384753,38.7278219908217,1.47025714817099,23.4471856481
1993,1498.95895037787,41.639058719839,1.43274598567313,30.7046494544363,1.79960691757394,22.8632745807
1994,1433.3886109229,43.2964642936651,2.02864142749677,19.9354193251077,2.34854835531479,22.3286803263
1995,1395.07488456856,75.4016531897357,0.102248817054222,14.5926997897463,3.86942353880894,24.5777135057
1996,1416.10189471212,26.4910898564523,-0.052715084128783,12.1633399070556,3.6668713107333,32.1680888724
1997,1420.23877961207,5.05534593106086,0.182526001518882,12.3016933463931,3.19713399773774,30.2836381937
1998,1419.31770917955,6.00934430361066,0.0644483686765673,8.72920595691906,3.48801264234771,19.6249318466
1999,1390.46921139078,13.4305716350796,1.4068762141583,37.947367935874,4.07196799827793,27.5918787256
2000,1421.67987952013,22.6737374008784,1.40408943743104,42.9310059300575,2.19681698856179,41.769368075
2001,1465.45720342309,10.0764772448642,1.49098326246406,40.282585750237,2.52879516488245,35.9346005668
2002,1644.39518877632,21.1090500029288,1.79046457944569,26.8499843007496,4.92407720221644,35.7952033916
2003,1717.2145111176,9.80432377665896,1.75486971965288,33.3056600049661,2.45931008565616,47.8550505137
2004,1824.80269456773,20.7276754356968,1.57243781289872,38.8871243363936,2.67723748453569,76.9293186322
2005,1889.25175325817,19.8584947707524,2.82796307537736,40.5423629082709,2.23122494768952,100.4993896777
2006,1949.15856804565,23.8643811265432,1.90171531035881,35.7505613280438,2.82849656539905,116.9462650663
2007,2020.83316299454,7.09973099343016,1.85737261418696,36.4535654823438,2.04228294476477,132.638304735
2008,2098.28339220667,7.9213872023645,2.10406651515204,40.1279881768683,3.4012644964214,171.8040322564
2009,2204.6072560373,0.686098874594009,2.38319829400776,30.7272152994775,3.27818978939605,112.9951516741
2010,2315.46676509662,26.7507616741542,1.3936421732454,34.9423292856474,3.24994458617827,167.276611104
2011,2370.97657091803,9.77845809675884,1.93605484757251,41.4991143112012,3.34867122054618,231.0010343917
2012,2403.65387896923,9.94763670635021,1.19399369741096,35.7134375825485,3.38615848101172,228.412229691
2013,2495.34106573748,4.96474571561274,0.833547506858151,28.177304182021,3.32059203406989,180.3302965744
2014,2583.6155695814,4.66262291733076,0.536332499825283,28.1094677845022,3.1028480644915,205.3120804518
2015,2585.73360671797,2.86366512298943,0.330401036005904,19.2516963708397,3.77967063844111,100
2016,2481.81490350326,9.54367006412473,0.770493056631535,17.0107868037786,4.43562176890317,66.3177644758
2017,2441.71236404487,11.1189180817699,0.559459236260169,20.1575144413897,3.59175064073856,88.5533943914
2018,2431.77857832567,10.2284850865888,0.049717518016142,24.5540341880582,3.95441657763576,120.5717522759
2019,2431.53528472982,10.384779195217,0.425649423841126,24.8226887886434,3.66673410897471,124.5242506569
2020,2337.57587388074,7.84914204720589,0.211001284789853,16.5141559252073,5.23157630945028,70.9602196374
2021,2372.57314465346,10.1310336867347,0.339198256170806,22.4009676131574,7.5918281152075,93.4606036901
2022,2398.98622787065,11.3113349413983,-0.0250792810930217,25.8536072373684,4.51733514615908,
2023,2416.36198205178,12.6218692275514,0.444329661955364,28.7511486470166,5.52490050899901,
